#,segment,VO_track,in,out,dur_s,asset,type,reuse,description,onscreen_text,source_url
37,3 · Flores Hobbits,VO-3,4:02.80,4:07.80,5.0,H3b,CLIP,,Flores hills aerial,,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_135134_3075cdd0-7be9-4b00-8199-70d1ffb36be6.mp4
38,3 · Flores Hobbits,VO-3,4:07.80,4:12.80,5.0,OB-S3g,CLIP,,Drought / cracked earth,,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_135136_c7c3c50f-c3f3-43b7-91be-11494568ac5e.mp4
39,3 · Flores Hobbits,VO-3,4:12.80,4:17.80,5.0,OB-S3h,CLIP,,Empty cave,"~50,000 years ago",https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_135137_026bb0fa-127c-4a59-8371-5ded20820412.mp4
40,3 · Flores Hobbits,VO-3,4:17.80,4:22.80,5.0,OB-S3i,CLIP,,Modern humans arrive later,,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_135138_fa18b86c-2c51-4ed7-8d2a-61fa07458fea.mp4
41,3 · Flores Hobbits,VO-3,4:22.80,4:46.16,23.36,S3b,STILL,yes,STILL H. floresiensis,,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_134027_7ebcd87f-8a08-4634-b72d-e3e3b65c3a96.png
42,4 · Austronesians,VO-4,4:46.16,4:51.16,5.0,H4,CLIP,,Outrigger canoe on ocean,"~4,000 years ago · from Taiwan",https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_133936_d232da54-8ff2-411c-ba7c-47e621a0eaa1.mp4
43,4 · Austronesians,VO-4,4:51.16,4:56.16,5.0,OB-S4a,CLIP,,Launching canoes (Taiwan),,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_135152_2df78882-faa0-4d85-a833-4d93c723a235.mp4
44,4 · Austronesians,VO-4,4:56.16,5:02.16,6.0,MAP2,MAP,,MAP: Austronesian routes,routes: Taiwan → Pacific · → Madagascar,maps/map_clips/MAP2_routes.mp4
45,4 · Austronesians,VO-4,5:02.16,5:07.16,5.0,OB-S4b,CLIP,,Outrigger float close-up,,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_135154_9f604260-c126-4f7f-a869-1bb6402b26dc.mp4
46,4 · Austronesians,VO-4,5:07.16,5:18.16,11.0,S4c,STILL,,STILL navigator/stars,,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_134954_43f9618e-711e-4ffb-afef-4ddbf650367d.png
47,4 · Austronesians,VO-4,5:18.16,5:23.16,5.0,OB-S4c,CLIP,,Reading the swells,,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_135155_f2f85a1c-47dc-40ff-8651-03cd4bca44c3.mp4
48,4 · Austronesians,VO-4,5:23.16,5:28.16,5.0,OB-S4d,CLIP,,Following seabirds,,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_135158_0e657a0b-1765-442e-94ec-236ee08b6c4e.mp4
49,4 · Austronesians,VO-4,5:28.16,5:33.16,5.0,OB-S4f,CLIP,,Elder teaching the stars,,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_135201_175872c7-d392-4a9c-9445-2de6250f605c.mp4
50,4 · Austronesians,VO-4,5:33.16,5:38.16,5.0,OB-S4g,CLIP,,Building a canoe,,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_135202_d2c95414-5737-4f38-9cad-95da1c1474fe.mp4
51,4 · Austronesians,VO-4,5:38.16,5:43.16,5.0,H4b,CLIP,,Fleet crossing the sea,,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_135203_8c757fc7-803a-4293-9cf3-99f1b5278c8a.mp4
52,4 · Austronesians,VO-4,5:43.16,5:48.16,5.0,OB-S4h,CLIP,,Landfall / island rising,,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_135204_4867ca83-3289-4c17-ab73-3fd46d793011.mp4
53,4 · Austronesians,VO-4,5:48.16,5:53.16,5.0,OB-S4j,CLIP,,Madagascar coast (west),MADAGASCAR,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_135206_280b72fb-2a09-400d-a88d-47ad13b21b5d.mp4
54,4 · Austronesians,VO-4,5:53.16,5:58.16,5.0,OB-S4k,CLIP,,Rapa Nui headland (east),RAPA NUI (EASTER ISLAND),https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_135207_f783547a-5ce1-4eda-be4a-888e729ef228.mp4
55,4 · Austronesians,VO-4,5:58.16,6:04.16,6.0,MAP2,MAP,yes,MAP: Austronesian routes,"THE AUSTRONESIANS · 1,000+ languages · ~400M speakers",maps/map_clips/MAP2_routes.mp4
56,4 · Austronesians,VO-4,6:04.16,6:37.68,33.52,H4,CLIP,yes,Outrigger canoe on ocean,,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_133936_d232da54-8ff2-411c-ba7c-47e621a0eaa1.mp4
57,5 · Angkor,VO-5,6:37.68,6:42.68,5.0,H5,CLIP,,Angkor Wat sunrise,"ANGKOR, CAMBODIA",https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_133944_986c9e43-20c2-48ab-9041-04de280788dd.mp4
58,5 · Angkor,VO-5,6:42.68,6:48.68,6.0,MAP3,MAP,,MAP: Angkor locator,Angkor,maps/map_clips/MAP3_angkor.mp4
59,5 · Angkor,VO-5,6:48.68,6:59.68,11.0,S5b,STILL,,S5b,"~800 years ago · up to ~750,000 people · (London ~20,000)",https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_133954_fbf95a53-875c-40d8-a2fb-c959d458007c.png
60,5 · Angkor,VO-5,6:59.68,7:04.68,5.0,OB-S5a,CLIP,,Canal-side market,,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_135242_1e61a79a-ed84-4f1a-8094-1ccfef2e2fdf.mp4
61,5 · Angkor,VO-5,7:04.68,7:09.68,5.0,OB-S5b,CLIP,,Waterworks / reservoir,,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_142429_96bd4756-e8be-4905-8d84-b4bdc933c5a8.mp4
62,5 · Angkor,VO-5,7:09.68,7:14.68,5.0,H5c,CLIP,,Angkor Wat under construction,ANGKOR WAT,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_135222_3dc1e3fe-e0e3-421a-8220-2bbc939beda2.mp4
63,5 · Angkor,VO-5,7:14.68,7:19.68,5.0,OB-S5d,CLIP,,Bas-relief gallery,World’s largest religious monument,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_135223_88152fa5-c874-482e-a4c5-849fab0e10f6.mp4
64,5 · Angkor,VO-5,7:19.68,7:24.68,5.0,H5,CLIP,yes,Angkor Wat sunrise,,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_133944_986c9e43-20c2-48ab-9041-04de280788dd.mp4
65,5 · Angkor,VO-5,7:24.68,7:29.68,5.0,OB-S5f,CLIP,,Drought then flood,,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_135245_a0ac5a4e-7992-46e8-a8ed-55b7d8e30008.mp4
66,5 · Angkor,VO-5,7:29.68,7:34.68,5.0,OB-S5g,CLIP,,Deserted streets,,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_142428_46e40ddc-6f21-4ca1-8ed4-ef5ffebc3d9e.mp4
67,5 · Angkor,VO-5,7:34.68,7:39.68,5.0,H5b,CLIP,,Temple in strangler-fig roots,,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_133945_0483ec26-b254-4183-b25a-207eca2f86cc.mp4
68,5 · Angkor,VO-5,7:39.68,7:44.68,5.0,OB-S5h,CLIP,,Roots splitting stone,,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_135229_91e31f44-3cb0-4a5e-a781-d271d8a2c171.mp4
69,5 · Angkor,VO-5,7:44.68,7:49.68,5.0,OB-S5i,CLIP,,Trees on the temple,,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_135231_877f8673-43c0-41b5-8219-a02a603160ba.mp4
70,5 · Angkor,VO-5,7:49.68,8:21.84,32.16,OB-S5j,CLIP,,Present-day Angkor at dawn,900 years later,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_135247_5f3a0fe4-3dd4-496a-8775-3cbe9493f7a2.mp4
71,Outro,VO-6,8:21.84,8:26.84,5.0,H1b,CLIP,yes,The land drowning,,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_133932_b4502be8-a5ac-41d4-8737-104500f2fc5c.mp4
72,Outro,VO-6,8:26.84,8:32.84,6.0,S2b,STILL,yes,STILL cave painting,,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_133949_10fe8982-62bd-4b9b-88b0-51188f84db93.png
73,Outro,VO-6,8:32.84,8:38.84,6.0,S3b,STILL,yes,STILL H. floresiensis,,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_134027_7ebcd87f-8a08-4634-b72d-e3e3b65c3a96.png
74,Outro,VO-6,8:38.84,8:43.84,5.0,H4,CLIP,yes,Outrigger canoe on ocean,,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_133936_d232da54-8ff2-411c-ba7c-47e621a0eaa1.mp4
75,Outro,VO-6,8:43.84,8:48.84,5.0,H5b,CLIP,yes,Temple in strangler-fig roots,,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_133945_0483ec26-b254-4183-b25a-207eca2f86cc.mp4
76,Outro,VO-6,8:48.84,8:54.88,6.04,H0,CLIP,yes,Archipelago aerial (opener),THE LOST WORLD OF SOUTHEAST ASIA  (reprise),https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_133929_2a480f28-132c-4f44-b3ef-ab4e238d031e.mp4
